2022-04-28 10:13:58.072 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-28 10:13:58.082 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-28 10:33:23.523 [main] INFO  com.newcoder.community.TransactionTest - Starting TransactionTest using Java 11.0.5 on DESKTOP-USTD7I1 with PID 263636 (started by xiu in F:\javaProject\community)
2022-04-28 10:33:23.526 [main] INFO  com.newcoder.community.TransactionTest - No active profile set, falling back to 1 default profile: "default"
2022-04-28 10:33:26.290 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-04-28 10:33:26.517 [main] INFO  com.newcoder.community.TransactionTest - Started TransactionTest in 3.464 seconds (JVM running for 4.773)
2022-04-28 10:33:26.909 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-28 10:33:27.210 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-28 10:33:28.376 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-28 10:33:28.406 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-28 10:43:07.715 [main] INFO  com.newcoder.community.TransactionTest - Starting TransactionTest using Java 11.0.5 on DESKTOP-USTD7I1 with PID 239964 (started by xiu in F:\javaProject\community)
2022-04-28 10:43:07.716 [main] INFO  com.newcoder.community.TransactionTest - No active profile set, falling back to 1 default profile: "default"
2022-04-28 10:43:09.356 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-04-28 10:43:09.562 [main] INFO  com.newcoder.community.TransactionTest - Started TransactionTest in 2.337 seconds (JVM running for 3.27)
2022-04-28 10:43:09.884 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-28 10:43:10.040 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-28 10:43:10.592 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-28 10:43:10.604 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-28 13:22:45.163 [main] INFO  com.newcoder.community.TransactionTest - Starting TransactionTest using Java 11.0.5 on DESKTOP-USTD7I1 with PID 268576 (started by xiu in F:\javaProject\community)
2022-04-28 13:22:45.220 [main] INFO  com.newcoder.community.TransactionTest - No active profile set, falling back to 1 default profile: "default"
2022-04-28 13:22:48.011 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-04-28 13:22:48.236 [main] INFO  com.newcoder.community.TransactionTest - Started TransactionTest in 4.063 seconds (JVM running for 6.376)
2022-04-28 13:22:48.692 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-28 13:22:49.528 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-28 13:22:50.956 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-28 13:22:50.975 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-04-28 13:23:01.539 [restartedMain] INFO  com.newcoder.community.CommunityApplication - Starting CommunityApplication using Java 11.0.5 on DESKTOP-USTD7I1 with PID 263488 (F:\javaProject\community\target\classes started by xiu in F:\javaProject\community)
2022-04-28 13:23:01.540 [restartedMain] INFO  com.newcoder.community.CommunityApplication - No active profile set, falling back to 1 default profile: "default"
2022-04-28 13:23:01.573 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-28 13:23:01.573 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-28 13:23:02.958 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-04-28 13:23:02.987 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.25] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2022-04-28 13:23:02.987 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2022-04-28 13:23:02.987 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2022-04-28 13:23:02.987 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-04-28 13:23:03.259 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2022-04-28 13:23:03.268 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-04-28 13:23:03.268 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-28 13:23:03.268 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.60]
